task,BatchNormalizationNS128,Conv2DNS1024,DenseNS128
conv2d_1, inf,19676, inf
batch_normalization_1,5551,inf,inf
conv2d_2, inf,201773, inf
batch_normalization_2,5403,inf,inf
conv2d_3, inf,402598, inf
batch_normalization_3,10805,inf,inf
conv2d_4, inf,30386, inf
batch_normalization_4,3331,inf,inf
conv2d_5, inf,780211, inf
batch_normalization_5,7562,inf,inf
conv2d_9, inf,23333, inf
conv2d_7, inf,18363, inf
conv2d_6, inf,23486, inf
conv2d_12, inf,11954, inf
batch_normalization_9,613,inf,inf
batch_normalization_7,460,inf,inf
batch_normalization_6,613,inf,inf
batch_normalization_12,307,inf,inf
conv2d_10, inf,106780, inf
conv2d_8, inf,147571, inf
batch_normalization_10,919,inf,inf
batch_normalization_8,613,inf,inf
conv2d_11, inf,159652, inf
batch_normalization_11,919,inf,inf
conv2d_16, inf,32236, inf
conv2d_14, inf,24066, inf
conv2d_13, inf,31092, inf
conv2d_19, inf,31356, inf
batch_normalization_16,613,inf,inf
batch_normalization_14,460,inf,inf
batch_normalization_13,613,inf,inf
batch_normalization_19,613,inf,inf
conv2d_17, inf,106144, inf
conv2d_15, inf,147123, inf
batch_normalization_17,919,inf,inf
batch_normalization_15,613,inf,inf
conv2d_18, inf,158701, inf
batch_normalization_18,919,inf,inf
conv2d_23, inf,35842, inf
conv2d_21, inf,27222, inf
conv2d_20, inf,35644, inf
conv2d_26, inf,35316, inf
batch_normalization_23,613,inf,inf
batch_normalization_21,460,inf,inf
batch_normalization_20,613,inf,inf
batch_normalization_26,613,inf,inf
conv2d_24, inf,105473, inf
conv2d_22, inf,146627, inf
batch_normalization_24,919,inf,inf
batch_normalization_22,613,inf,inf
conv2d_25, inf,159650, inf
batch_normalization_25,919,inf,inf
conv2d_28, inf,34880, inf
conv2d_27, inf,1001155, inf
batch_normalization_28,613,inf,inf
batch_normalization_27,867,inf,inf
conv2d_29, inf,106156, inf
batch_normalization_29,919,inf,inf
conv2d_30, inf,83132, inf
batch_normalization_30,217,inf,inf
conv2d_35, inf,98944, inf
conv2d_32, inf,99144, inf
conv2d_31, inf,148698, inf
conv2d_40, inf,149150, inf
batch_normalization_35,289,inf,inf
batch_normalization_32,289,inf,inf
batch_normalization_31,434,inf,inf
batch_normalization_40,434,inf,inf
conv2d_36, inf,116026, inf
conv2d_33, inf,115482, inf
batch_normalization_36,289,inf,inf
batch_normalization_33,289,inf,inf
conv2d_37, inf,114822, inf
conv2d_34, inf,172479, inf
batch_normalization_37,289,inf,inf
batch_normalization_34,434,inf,inf
conv2d_38, inf,114276, inf
batch_normalization_38,289,inf,inf
conv2d_39, inf,174165, inf
batch_normalization_39,434,inf,inf
